Class	Field	Type	Description
ExcelScript.AggregationFunction		Class	Aggregation function for the DataPivotField.
ExcelScript.AggregationFunction	automatic	EnumField	Excel will automatically select the aggregation based on the data items.
ExcelScript.AggregationFunction	average	EnumField	Aggregate using the average of the data  equivalent to the AVERAGE function.
ExcelScript.AggregationFunction	count	EnumField	Aggregate using the count of items in the data  equivalent to the COUNTA function.
ExcelScript.AggregationFunction	countNumbers	EnumField	Aggregate using the count of numbers in the data  equivalent to the COUNT function.
ExcelScript.AggregationFunction	max	EnumField	Aggregate using the maximum value of the data  equivalent to the MAX function.
ExcelScript.AggregationFunction	min	EnumField	Aggregate using the minimum value of the data  equivalent to the MIN function.
ExcelScript.AggregationFunction	product	EnumField	Aggregate using the product of the data  equivalent to the PRODUCT function.
ExcelScript.AggregationFunction	standardDeviation	EnumField	Aggregate using the standard deviation of the data  equivalent to the STDEV function.
ExcelScript.AggregationFunction	standardDeviationP	EnumField	Aggregate using the standard deviation of the data  equivalent to the STDEVP function.
ExcelScript.AggregationFunction	sum	EnumField	Aggregate using the sum of the data  equivalent to the SUM function.
ExcelScript.AggregationFunction	unknown	EnumField	Aggregation function is unknown or unsupported.
ExcelScript.AggregationFunction	variance	EnumField	Aggregate using the variance of the data  equivalent to the VAR function.
ExcelScript.AggregationFunction	varianceP	EnumField	Aggregate using the variance of the data  equivalent to the VARP function.
ExcelScript.Application		Class	Represents the Excel application that manages the workbook.
ExcelScript.Application	calculate(calculationType)	Method	Recalculate all currently opened workbooks in Excel.
ExcelScript.Application	getCalculationEngineVersion()	Method	Returns the Excel calculation engine version used for the last full recalculation.
ExcelScript.Application	getCalculationMode()	Method	Returns the calculation mode used in the workbook  as defined by the constants in `ExcelScript.CalculationMode`<!--
ExcelScript.Application	getCalculationState()	Method	Returns the calculation state of the application.
ExcelScript.Application	getCultureInfo()	Method	Provides information based on current system culture settings.
ExcelScript.Application	getDecimalSeparator()	Method	Gets the string used as the decimal separator for numeric values.
ExcelScript.Application	getIterativeCalculation()	Method	Returns the iterative calculation settings.
ExcelScript.Application	getThousandsSeparator()	Method	Gets the string used to separate groups of digits to the left of the decimal for numeric values.
ExcelScript.Application	getUseSystemSeparators()	Method	Specifies if the system separators of Excel are enabled.
ExcelScript.Application	setCalculationMode(calculationMode)	Method	Returns the calculation mode used in the workbook  as defined by the constants in `ExcelScript.CalculationMode`<!--
ExcelScript.ArrowheadLength		Class	
ExcelScript.ArrowheadLength	long	EnumField	
